idx,name,optimizer,use_sam,sam_rho,wd,dropout,seed
74,sweep-muon-sam-wd003-dr00-s1337,muon,1,0.05,0.03,0.0,1337
75,sweep-muon-sam-wd003-dr00-s2718,muon,1,0.05,0.03,0.0,2718
76,sweep-muon-sam-wd003-dr01-s42,muon,1,0.05,0.03,0.1,42
77,sweep-muon-sam-wd003-dr01-s1337,muon,1,0.05,0.03,0.1,1337
78,sweep-muon-sam-wd003-dr01-s2718,muon,1,0.05,0.03,0.1,2718
79,sweep-muon-sam-wd01-dr00-s42,muon,1,0.05,0.1,0.0,42
80,sweep-muon-sam-wd01-dr00-s1337,muon,1,0.05,0.1,0.0,1337
81,sweep-muon-sam-wd01-dr00-s2718,muon,1,0.05,0.1,0.0,2718
82,sweep-muon-sam-wd01-dr01-s42,muon,1,0.05,0.1,0.1,42
83,sweep-muon-sam-wd01-dr01-s1337,muon,1,0.05,0.1,0.1,1337
84,sweep-muon-sam-wd01-dr01-s2718,muon,1,0.05,0.1,0.1,2718
85,sweep-muon-sam-wd03-dr00-s42,muon,1,0.05,0.3,0.0,42
86,sweep-muon-sam-wd03-dr00-s1337,muon,1,0.05,0.3,0.0,1337
87,sweep-muon-sam-wd03-dr00-s2718,muon,1,0.05,0.3,0.0,2718
88,sweep-muon-sam-wd03-dr01-s42,muon,1,0.05,0.3,0.1,42
89,sweep-muon-sam-wd03-dr01-s1337,muon,1,0.05,0.3,0.1,1337
90,sweep-muon-sam-wd03-dr01-s2718,muon,1,0.05,0.3,0.1,2718
91,sweep-muon-sam-wd10-dr00-s42,muon,1,0.05,1.0,0.0,42
92,sweep-muon-sam-wd10-dr00-s1337,muon,1,0.05,1.0,0.0,1337
93,sweep-muon-sam-wd10-dr00-s2718,muon,1,0.05,1.0,0.0,2718
94,sweep-muon-sam-wd10-dr01-s42,muon,1,0.05,1.0,0.1,42
95,sweep-muon-sam-wd10-dr01-s1337,muon,1,0.05,1.0,0.1,1337
96,sweep-muon-sam-wd10-dr01-s2718,muon,1,0.05,1.0,0.1,2718
